14102.03,22.1129368546,113.5669934750
8620.69,22.1129368546,113.5669934750
7661.54,22.1129368546,113.5669934750
7551.49,22.1165041438,113.5695336585
5839.42,22.1165041438,113.5695336585
5788.71,22.1165041438,113.5695336585
5692.23,22.1165041438,113.5695336585
5692.23,22.1165041438,113.5695336585
5692.23,22.1165041438,113.5695336585
5532.17,22.1165041438,113.5695336585
5351.77,22.1165041438,113.5695336585
5306.32,22.1165041438,113.5695336585
5209.84,22.1165041438,113.5695336585
5209.84,22.1165041438,113.5695336585
5204.82,22.1165041438,113.5695336585
5190.55,22.1165041438,113.5695336585
5120.48,22.1165041438,113.5695336585
5120.48,22.1165041438,113.5695336585
5111.24,22.1165041438,113.5695336585
5111.24,22.1165041438,113.5695336585
5051.11,22.1165041438,113.5695336585
4798.56,22.1165041438,113.5695336585
4780.52,22.1165041438,113.5695336585
4780.52,22.1165041438,113.5695336585
4777.64,22.1165041438,113.5695336585
4660.25,22.1165041438,113.5695336585
4524.84,22.1165041438,113.5695336585
4509.92,22.1165041438,113.5695336585
4496.4,22.1165041438,113.5695336585
4476.6,22.1165041438,113.5695336585
4329.52,22.1165041438,113.5695336585
4329.52,22.1165041438,113.5695336585
4148.58,22.1165041438,113.5695336585
4148.58,22.1165041438,113.5695336585
4133.33,22.1165041438,113.5695336585